Image Name, Predicted Digit, Confidence
WaterMeter_10305.jpg, 8, 96.18%
WaterMeter_10306.jpg, 8, 96.26%
WaterMeter_10307.jpg, 8, 94.00%
WaterMeter_10308.jpg, 8, 95.23%
WaterMeter_10309.jpg, 8, 94.02%
WaterMeter_10310.jpg, 8, 95.05%
WaterMeter_10311.jpg, 8, 96.06%
WaterMeter_10312.jpg, 8, 96.34%
WaterMeter_10313.jpg, 8, 96.21%
WaterMeter_10314.jpg, 8, 96.67%
WaterMeter_10315.jpg, 8, 95.36%
WaterMeter_10316.jpg, 8, 95.18%
WaterMeter_10317.jpg, 8, 94.78%
WaterMeter_10318.jpg, 8, 95.14%
WaterMeter_10319.jpg, 8, 96.18%
WaterMeter_10320.jpg, 8, 95.44%
WaterMeter_10321.jpg, 8, 94.34%
WaterMeter_10322.jpg, 8, 94.69%
WaterMeter_10323.jpg, 8, 95.92%
WaterMeter_10324.jpg, 8, 96.41%
WaterMeter_10325.jpg, 8, 95.05%
WaterMeter_10326.jpg, 8, 96.68%
WaterMeter_10327.jpg, 8, 95.71%
WaterMeter_10328.jpg, 8, 95.18%
WaterMeter_10329.jpg, 8, 92.87%
WaterMeter_10330.jpg, 8, 94.90%
WaterMeter_10331.jpg, 8, 94.29%
WaterMeter_10332.jpg, 8, 94.45%
WaterMeter_10333.jpg, 8, 96.50%
WaterMeter_10334.jpg, 8, 94.96%
WaterMeter_10335.jpg, 8, 95.22%
WaterMeter_10336.jpg, 8, 93.22%
WaterMeter_10337.jpg, 8, 96.42%
WaterMeter_10338.jpg, 8, 94.95%
WaterMeter_10339.jpg, 8, 96.55%
WaterMeter_10340.jpg, 9, 81.08%
WaterMeter_10341.jpg, 8, 95.23%
WaterMeter_10342.jpg, 8, 95.28%
WaterMeter_10343.jpg, 8, 96.26%
WaterMeter_10344.jpg, 8, 96.63%
WaterMeter_10345.jpg, 8, 95.50%
WaterMeter_10346.jpg, 8, 94.57%
WaterMeter_10347.jpg, 8, 94.41%
WaterMeter_10348.jpg, 8, 96.11%
WaterMeter_10349.jpg, 8, 94.71%
WaterMeter_10350.jpg, 8, 96.26%
WaterMeter_10351.jpg, 8, 95.08%
WaterMeter_10352.jpg, 8, 95.46%
WaterMeter_10353.jpg, 8, 95.03%
WaterMeter_10354.jpg, 8, 94.36%
WaterMeter_10355.jpg, 1, 32.58%
WaterMeter_10356.jpg, 8, 95.81%
WaterMeter_10357.jpg, 8, 96.65%
WaterMeter_10358.jpg, 8, 94.68%
WaterMeter_10359.jpg, 8, 95.22%
WaterMeter_10360.jpg, 8, 95.24%
WaterMeter_10361.jpg, 8, 96.09%
WaterMeter_10362.jpg, 8, 94.86%
WaterMeter_10363.jpg, 8, 95.47%
WaterMeter_10364.jpg, 8, 94.57%
WaterMeter_10365.jpg, 8, 94.80%
WaterMeter_10366.jpg, 8, 96.44%
WaterMeter_10367.jpg, 8, 95.15%
WaterMeter_10368.jpg, 8, 94.83%
WaterMeter_10369.jpg, 8, 95.20%
WaterMeter_10370.jpg, 8, 95.54%
WaterMeter_10371.jpg, 8, 95.40%
WaterMeter_10372.jpg, 0, 39.57%
WaterMeter_10373.jpg, 8, 95.99%
WaterMeter_10374.jpg, 8, 96.48%
WaterMeter_10375.jpg, 8, 95.12%
WaterMeter_10376.jpg, 0, 88.02%
WaterMeter_10377.jpg, 8, 96.09%
WaterMeter_10378.jpg, 8, 95.09%
WaterMeter_10379.jpg, 0, 75.64%
WaterMeter_10380.jpg, 8, 96.36%
WaterMeter_10381.jpg, 8, 95.31%
WaterMeter_10382.jpg, 8, 96.11%
WaterMeter_10383.jpg, 0, 46.26%
WaterMeter_10384.jpg, 8, 95.57%
WaterMeter_10385.jpg, 8, 94.86%
WaterMeter_10386.jpg, 8, 95.05%
WaterMeter_10387.jpg, 8, 95.00%
WaterMeter_10388.jpg, 8, 93.91%
WaterMeter_10389.jpg, 8, 93.90%
WaterMeter_10390.jpg, 8, 94.65%
WaterMeter_10391.jpg, 8, 94.73%
WaterMeter_10392.jpg, 8, 95.24%
WaterMeter_10393.jpg, 8, 94.96%
WaterMeter_10394.jpg, 8, 96.52%
WaterMeter_10395.jpg, 8, 95.70%
WaterMeter_10396.jpg, 1, 54.45%
WaterMeter_10397.jpg, 8, 95.59%
WaterMeter_10398.jpg, 8, 95.32%
WaterMeter_10399.jpg, 1, 49.56%
WaterMeter_10400.jpg, 1, 60.50%
WaterMeter_10401.jpg, 8, 96.67%
WaterMeter_10402.jpg, 8, 95.08%
WaterMeter_10403.jpg, 8, 95.21%
WaterMeter_10404.jpg, 8, 95.13%
WaterMeter_10405.jpg, 8, 94.51%
WaterMeter_10406.jpg, 8, 93.61%
WaterMeter_10407.jpg, 8, 96.68%
WaterMeter_10408.jpg, 8, 96.51%
WaterMeter_10409.jpg, 1, 57.70%
WaterMeter_10410.jpg, 8, 95.02%
WaterMeter_10411.jpg, 8, 94.99%
WaterMeter_10412.jpg, 8, 95.21%
WaterMeter_10413.jpg, 8, 95.92%
WaterMeter_10414.jpg, 8, 95.58%
WaterMeter_10415.jpg, 8, 95.73%
WaterMeter_10416.jpg, 8, 96.32%
WaterMeter_10417.jpg, 8, 95.31%
WaterMeter_10418.jpg, 8, 95.56%
WaterMeter_10419.jpg, 8, 94.93%
WaterMeter_10420.jpg, 8, 94.58%
WaterMeter_10421.jpg, 8, 96.33%
WaterMeter_10422.jpg, 8, 96.74%
WaterMeter_10423.jpg, 8, 96.81%
WaterMeter_10424.jpg, 8, 95.79%
WaterMeter_10425.jpg, 8, 95.98%
WaterMeter_10426.jpg, 8, 96.09%
WaterMeter_10427.jpg, 8, 95.51%
WaterMeter_10428.jpg, 8, 94.85%
WaterMeter_10429.jpg, 8, 95.29%
WaterMeter_10430.jpg, 8, 95.43%
WaterMeter_10431.jpg, 8, 95.15%
WaterMeter_10432.jpg, 8, 95.96%
WaterMeter_10433.jpg, 8, 94.65%
WaterMeter_10434.jpg, 8, 94.33%
WaterMeter_10435.jpg, 8, 95.62%
WaterMeter_10436.jpg, 8, 95.06%
WaterMeter_10437.jpg, 8, 94.32%
WaterMeter_10438.jpg, 8, 94.53%
WaterMeter_10439.jpg, 8, 96.34%
WaterMeter_10440.jpg, 8, 95.04%
WaterMeter_10441.jpg, 8, 94.74%
WaterMeter_10442.jpg, 8, 96.31%
WaterMeter_10443.jpg, 8, 95.46%
WaterMeter_10444.jpg, 8, 96.34%
WaterMeter_10445.jpg, 8, 95.86%
WaterMeter_10446.jpg, 8, 94.52%
WaterMeter_10447.jpg, 8, 93.78%
WaterMeter_10448.jpg, 8, 96.29%
WaterMeter_10449.jpg, 8, 95.08%
WaterMeter_10450.jpg, 8, 91.63%
WaterMeter_10451.jpg, 8, 95.34%
WaterMeter_10452.jpg, 8, 94.70%
WaterMeter_10453.jpg, 8, 96.35%
WaterMeter_10454.jpg, 8, 96.50%
WaterMeter_10455.jpg, 8, 95.88%
WaterMeter_10456.jpg, 8, 95.09%
WaterMeter_10457.jpg, 8, 94.59%
WaterMeter_10458.jpg, 8, 94.77%
WaterMeter_10459.jpg, 8, 95.50%
WaterMeter_10460.jpg, 8, 95.13%
WaterMeter_10461.jpg, 8, 96.60%
WaterMeter_10462.jpg, 8, 93.19%
WaterMeter_10463.jpg, 8, 95.51%
WaterMeter_10464.jpg, 8, 96.58%
WaterMeter_10465.jpg, 8, 95.95%
WaterMeter_10466.jpg, 8, 94.04%
WaterMeter_10467.jpg, 8, 94.57%
WaterMeter_10468.jpg, 8, 94.97%
WaterMeter_10469.jpg, 8, 95.50%
WaterMeter_10470.jpg, 8, 94.32%
WaterMeter_10471.jpg, 8, 93.00%
WaterMeter_10472.jpg, 8, 95.06%
WaterMeter_10473.jpg, 8, 94.34%
WaterMeter_10474.jpg, 8, 95.53%
WaterMeter_10475.jpg, 8, 94.89%
WaterMeter_10476.jpg, 8, 94.95%
WaterMeter_10477.jpg, 8, 95.80%
WaterMeter_10478.jpg, 8, 95.01%
WaterMeter_10479.jpg, 8, 95.09%
WaterMeter_10480.jpg, 8, 94.77%
WaterMeter_10481.jpg, 8, 93.01%
WaterMeter_10482.jpg, 8, 95.67%
WaterMeter_10483.jpg, 8, 93.95%
WaterMeter_10484.jpg, 8, 94.94%
WaterMeter_10485.jpg, 8, 94.38%
WaterMeter_10486.jpg, 8, 93.39%
WaterMeter_10487.jpg, 8, 95.17%
WaterMeter_10488.jpg, 8, 95.71%
WaterMeter_10489.jpg, 8, 93.65%
WaterMeter_10490.jpg, 8, 92.14%
WaterMeter_10491.jpg, 8, 94.74%
WaterMeter_10492.jpg, 8, 94.82%
WaterMeter_10493.jpg, 8, 95.30%
WaterMeter_10494.jpg, 8, 94.11%
WaterMeter_10495.jpg, 8, 94.17%
WaterMeter_10496.jpg, 8, 94.26%
WaterMeter_10497.jpg, 8, 94.84%
WaterMeter_10498.jpg, 8, 94.82%
WaterMeter_10499.jpg, 8, 94.36%
WaterMeter_10500.jpg, 8, 96.56%
WaterMeter_10501.jpg, 8, 93.33%
WaterMeter_10502.jpg, 8, 96.15%
WaterMeter_10503.jpg, 8, 94.46%
WaterMeter_10504.jpg, 8, 94.53%
WaterMeter_10505.jpg, 8, 93.01%
WaterMeter_10506.jpg, 8, 96.18%
WaterMeter_10507.jpg, 8, 95.19%
WaterMeter_10508.jpg, 8, 95.64%
WaterMeter_10509.jpg, 8, 96.48%
WaterMeter_10510.jpg, 8, 94.54%
WaterMeter_10511.jpg, 8, 94.55%
WaterMeter_10512.jpg, 8, 95.30%
WaterMeter_10513.jpg, 8, 93.77%
WaterMeter_10514.jpg, 8, 96.37%
WaterMeter_10515.jpg, 8, 94.25%
WaterMeter_10516.jpg, 8, 95.29%
WaterMeter_10517.jpg, 8, 94.56%
WaterMeter_10518.jpg, 8, 95.65%
WaterMeter_10519.jpg, 8, 94.92%
WaterMeter_10520.jpg, 8, 96.10%
WaterMeter_10521.jpg, 8, 93.10%
WaterMeter_10522.jpg, 8, 94.29%
WaterMeter_10523.jpg, 8, 96.06%
WaterMeter_10524.jpg, 8, 94.61%
WaterMeter_10525.jpg, 8, 95.39%
WaterMeter_10526.jpg, 8, 93.64%
WaterMeter_10527.jpg, 8, 95.00%
WaterMeter_10528.jpg, 8, 94.58%
WaterMeter_10529.jpg, 8, 96.22%
WaterMeter_10530.jpg, 8, 95.89%
WaterMeter_10531.jpg, 8, 96.40%
WaterMeter_10532.jpg, 8, 94.93%
WaterMeter_10533.jpg, 8, 95.66%
WaterMeter_10534.jpg, 8, 93.66%
WaterMeter_10535.jpg, 8, 94.03%
WaterMeter_10536.jpg, 8, 94.81%
WaterMeter_10537.jpg, 8, 95.88%
WaterMeter_10538.jpg, 8, 93.97%
WaterMeter_10539.jpg, 8, 94.69%
WaterMeter_10540.jpg, 8, 95.51%
WaterMeter_10541.jpg, 8, 94.69%
WaterMeter_10542.jpg, 8, 94.57%
WaterMeter_10543.jpg, 8, 93.80%
WaterMeter_10544.jpg, 8, 96.10%
WaterMeter_10545.jpg, 8, 95.13%
WaterMeter_10546.jpg, 8, 94.16%
WaterMeter_10547.jpg, 8, 95.97%
WaterMeter_10548.jpg, 8, 94.39%
WaterMeter_10549.jpg, 8, 94.77%
WaterMeter_10550.jpg, 8, 95.46%
WaterMeter_10551.jpg, 8, 96.23%
WaterMeter_10552.jpg, 8, 96.04%
WaterMeter_10553.jpg, 8, 94.98%
WaterMeter_10554.jpg, 8, 93.65%
WaterMeter_10555.jpg, 8, 94.55%
WaterMeter_10556.jpg, 8, 94.22%
WaterMeter_10557.jpg, 8, 96.28%
WaterMeter_10558.jpg, 8, 94.40%
WaterMeter_10559.jpg, 8, 95.67%
WaterMeter_10560.jpg, 8, 96.21%
WaterMeter_10561.jpg, 8, 94.06%
WaterMeter_10562.jpg, 8, 93.31%
WaterMeter_10563.jpg, 8, 95.70%
WaterMeter_10564.jpg, 8, 94.38%
WaterMeter_10565.jpg, 8, 94.50%
WaterMeter_10566.jpg, 8, 94.14%
WaterMeter_10567.jpg, 8, 95.21%
WaterMeter_10568.jpg, 8, 94.53%
WaterMeter_10569.jpg, 8, 94.27%
WaterMeter_10570.jpg, 8, 95.74%
WaterMeter_10571.jpg, 8, 94.48%
WaterMeter_10572.jpg, 8, 93.01%
WaterMeter_10573.jpg, 8, 94.99%
WaterMeter_10574.jpg, 8, 95.53%
WaterMeter_10575.jpg, 8, 95.75%
WaterMeter_10576.jpg, 8, 96.08%
WaterMeter_10577.jpg, 8, 96.05%
WaterMeter_10578.jpg, 8, 95.94%
WaterMeter_10579.jpg, 8, 94.44%
WaterMeter_10580.jpg, 8, 94.73%
WaterMeter_10581.jpg, 8, 95.98%
WaterMeter_10582.jpg, 8, 96.18%
WaterMeter_10583.jpg, 8, 95.67%
WaterMeter_10584.jpg, 8, 95.97%
WaterMeter_10585.jpg, 8, 95.52%
WaterMeter_10586.jpg, 8, 94.77%
WaterMeter_10587.jpg, 8, 96.16%
WaterMeter_10588.jpg, 8, 94.59%
WaterMeter_10589.jpg, 8, 95.43%
WaterMeter_10590.jpg, 8, 95.70%
WaterMeter_2028.jpg, 0, 99.82%
WaterMeter_2029.jpg, 0, 99.79%
WaterMeter_2030.jpg, 0, 98.94%
WaterMeter_2031.jpg, 0, 99.32%
WaterMeter_2032.jpg, 0, 99.85%
WaterMeter_2033.jpg, 0, 99.53%
WaterMeter_2034.jpg, 0, 99.77%
WaterMeter_2035.jpg, 0, 99.28%
WaterMeter_2036.jpg, 0, 99.51%
WaterMeter_2037.jpg, 0, 99.65%
WaterMeter_2038.jpg, 0, 99.36%
WaterMeter_2039.jpg, 0, 99.14%
WaterMeter_2040.jpg, 0, 98.91%
